type,title,url,parent_url,local_path,status,size_bytes,seconds,error
category,VFX by Orçun Sarı,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158686925,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Orçun Sarı/index.html,REPLACED,499443,8.645,
category,VFX by De Andre Martin,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158892725,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by De Andre Martin/index.html,REPLACED,1090,8.154,
category,FX Design Principles - Explained,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627140,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/FX Design Principles - Explained/index.html,REPLACED,1130,6.449,
category,FX Timing Principles - Explained,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/FX Timing Principles - Explained/index.html,REPLACED,1130,8.528,
category,Animation & Design - Track Overview,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150659695,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Animation & Design - Track Overview/index.html,REPLACED,1142,6.434,
category,Drawing Foundations - Design,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627189,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/index.html,REPLACED,1114,6.323,
category,2D Software Introduction - Explained,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2153487511,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/index.html,REPLACED,1146,8.909,
category,2D FX Basics - Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2153487517,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/index.html,REPLACED,1098,9.267,
category,Applied Foundations - Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627211,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Applied Foundations - Animation/index.html,REPLACED,1126,8.480,
category,Elemental Foundations - Explained,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627224,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Elemental Foundations - Explained/index.html,REPLACED,1134,6.904,
category,What To Learn Next? - Track Overview,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150659706,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/What To Learn Next_ - Track Overview/index.html,REPLACED,1146,6.671,
category,Intro to FX Concept Painting - Design,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627457,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Intro to FX Concept Painting - Design/index.html,REPLACED,1150,8.295,
category,FX Concept Painting Elemental Studies - Design,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627636,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/FX Concept Painting Elemental Studies - Design/index.html,REPLACED,1186,6.407,
category,Small 2D FX Animation Studies - Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627235,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Small 2D FX Animation Studies - Animation/index.html,REPLACED,1166,6.334,
category,Medium 2D FX Animation Elemental Studies - Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627657,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Medium 2D FX Animation Elemental Studies - Animation/index.html,REPLACED,1210,6.423,
category,Level 1 ✅,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627694,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Level 1 ✅/index.html,REPLACED,1046,6.596,
